		#naca0018		
#group	#point	#x_cord	#y_cord	#z_cord
1	164	0,10016	0,070281	0,0000
1	165	0,10134	0,070578	0,0000
1	166	0,10253	0,070873	0,0000
1	167	0,10372	0,071166	0,0000
1	168	0,10492	0,071456	0,0000
1	169	0,10613	0,071745	0,0000
1	170	0,10734	0,072032	0,0000
1	171	0,10856	0,072316	0,0000
1	172	0,10978	0,072598	0,0000
1	173	0,11102	0,072878	0,0000
1	174	0,11225	0,073157	0,0000
1	175	0,11349	0,073433	0,0000
1	176	0,11474	0,073706	0,0000
1	177	0,116	0,073978	0,0000
1	178	0,11726	0,074248	0,0000
1	179	0,11852	0,074515	0,0000
1	180	0,1198	0,07478	0,0000
1	181	0,12108	0,075043	0,0000
1	182	0,12236	0,075304	0,0000
1	183	0,12365	0,075563	0,0000
1	184	0,12494	0,07582	0,0000
1	185	0,12625	0,076074	0,0000
1	186	0,12755	0,076326	0,0000
1	187	0,12887	0,076576	0,0000
1	188	0,13018	0,076824	0,0000
1	189	0,13151	0,07707	0,0000
1	190	0,13284	0,077313	0,0000
1	191	0,13417	0,077554	0,0000
1	192	0,13552	0,077793	0,0000
1	193	0,13686	0,07803	0,0000
1	194	0,13822	0,078264	0,0000
1	195	0,13957	0,078497	0,0000
1	196	0,14094	0,078727	0,0000
1	197	0,14231	0,078954	0,0000
1	198	0,14368	0,07918	0,0000
1	199	0,14506	0,079403	0,0000
1	200	0,14645	0,079624	0,0000
1	201	0,14784	0,079843	0,0000
1	202	0,14923	0,080059	0,0000
1	203	0,15064	0,080273	0,0000
1	204	0,15204	0,080485	0,0000
1	205	0,15346	0,080695	0,0000
1	206	0,15487	0,080902	0,0000
1	207	0,1563	0,081107	0,0000
1	208	0,15773	0,08131	0,0000
1	209	0,15916	0,08151	0,0000
1	210	0,1606	0,081708	0,0000
1	211	0,16204	0,081904	0,0000
1	212	0,16349	0,082098	0,0000
1	213	0,16495	0,082289	0,0000
1	214	0,16641	0,082478	0,0000
1	215	0,16787	0,082664	0,0000
1	216	0,16934	0,082848	0,0000
1	217	0,17082	0,08303	0,0000
1	218	0,1723	0,08321	0,0000
1	219	0,17379	0,083387	0,0000
1	220	0,17528	0,083562	0,0000
1	221	0,17677	0,083735	0,0000
1	222	0,17827	0,083905	0,0000
1	223	0,17978	0,084073	0,0000
1	224	0,18129	0,084238	0,0000
1	225	0,1828	0,084402	0,0000
1	226	0,18432	0,084562	0,0000
1	227	0,18585	0,084721	0,0000
1	228	0,18738	0,084877	0,0000
1	229	0,18891	0,085031	0,0000
1	230	0,19045	0,085182	0,0000
1	231	0,192	0,085332	0,0000
1	232	0,19355	0,085478	0,0000
1	233	0,1951	0,085623	0,0000
1	234	0,19666	0,085765	0,0000
1	235	0,19822	0,085905	0,0000
1	236	0,19979	0,086042	0,0000
1	237	0,20136	0,086177	0,0000
1	238	0,20294	0,08631	0,0000
1	239	0,20452	0,08644	0,0000
1	240	0,20611	0,086568	0,0000
1	241	0,2077	0,086693	0,0000
1	242	0,20929	0,086817	0,0000
1	243	0,21089	0,086937	0,0000
1	244	0,2125	0,087056	0,0000
1	245	0,21411	0,087172	0,0000
1	246	0,21572	0,087286	0,0000
1	247	0,21734	0,087397	0,0000
1	248	0,21896	0,087506	0,0000
1	249	0,22058	0,087613	0,0000
1	250	0,22221	0,087717	0,0000
1	251	0,22385	0,087819	0,0000
1	252	0,22549	0,087919	0,0000
1	253	0,22713	0,088016	0,0000
1	254	0,22878	0,088111	0,0000
1	255	0,23043	0,088204	0,0000
1	256	0,23209	0,088294	0,0000
1	257	0,23375	0,088382	0,0000
1	258	0,23541	0,088468	0,0000
1	259	0,23708	0,088551	0,0000
1	260	0,23875	0,088632	0,0000
1	261	0,24043	0,08871	0,0000
1	262	0,24211	0,088786	0,0000
1	263	0,24379	0,08886	0,0000
1	264	0,24548	0,088932	0,0000
1	265	0,24717	0,089001	0,0000
1	266	0,24887	0,089068	0,0000
1	267	0,25057	0,089133	0,0000
1	268	0,25227	0,089195	0,0000
1	269	0,25398	0,089255	0,0000
1	270	0,25569	0,089312	0,0000
1	271	0,2574	0,089368	0,0000
1	272	0,25912	0,089421	0,0000
1	273	0,26085	0,089471	0,0000
1	274	0,26257	0,08952	0,0000
1	275	0,2643	0,089566	0,0000
1	276	0,26604	0,089609	0,0000
1	277	0,26777	0,089651	0,0000
1	278	0,26951	0,08969	0,0000
1	279	0,27126	0,089727	0,0000
1	280	0,273	0,089762	0,0000
1	281	0,27476	0,089794	0,0000
1	282	0,27651	0,089824	0,0000
1	283	0,27827	0,089852	0,0000
1	284	0,28003	0,089878	0,0000
1	285	0,2818	0,089901	0,0000
1	286	0,28356	0,089922	0,0000
1	287	0,28534	0,089941	0,0000
1	288	0,28711	0,089957	0,0000
1	289	0,28889	0,089972	0,0000
1	290	0,29067	0,089984	0,0000
1	291	0,29245	0,089993	0,0000
1	292	0,29424	0,090001	0,0000
1	293	0,29603	0,090006	0,0000
1	294	0,29783	0,09001	0,0000
1	295	0,29963	0,090011	0,0000
1	296	0,30143	0,090009	0,0000
1	297	0,30323	0,090006	0,0000
1	298	0,30504	0,09	0,0000
1	299	0,30685	0,089993	0,0000
1	300	0,30866	0,089983	0,0000
1	301	0,31047	0,089971	0,0000
1	302	0,31229	0,089956	0,0000
1	303	0,31411	0,08994	0,0000
1	304	0,31594	0,089921	0,0000
1	305	0,31776	0,0899	0,0000
1	306	0,31959	0,089877	0,0000
1	307	0,32143	0,089852	0,0000
1	308	0,32326	0,089825	0,0000
1	309	0,3251	0,089796	0,0000
1	310	0,32694	0,089764	0,0000
1	311	0,32878	0,089731	0,0000
1	312	0,33063	0,089695	0,0000
1	313	0,33248	0,089657	0,0000
1	314	0,33433	0,089618	0,0000
